"zipCode","stateAbv","lat","long","city","state"
"52761","IL","41.413372","-91.00612","Muscatine","Illinois"
"60002","IL","42.466170","-88.09995","Antioch","Illinois"
"60004","IL","42.108428","-87.97723","Arlington Height","Illinois"
"60005","IL","42.069327","-87.98464","Arlington Height","Illinois"
"60007","IL","42.005978","-87.99847","Elk Grove Villag","Illinois"
"60008","IL","42.075060","-88.02508","Rolling Meadows","Illinois"
"60010","IL","42.160791","-88.15231","Barrington","Illinois"
"60012","IL","42.265643","-88.31664","Crystal Lake","Illinois"
"60013","IL","42.217523","-88.24338","Cary","Illinois"
"60014","IL","42.226623","-88.33066","Crystal Lake","Illinois"
"60015","IL","42.169325","-87.86556","Deerfield","Illinois"
"60016","IL","42.047178","-87.89058","Des Plaines","Illinois"
"60018","IL","42.008429","-87.89234","Rosemont","Illinois"
"60020","IL","42.409445","-88.17822","Fox Lake","Illinois"
"60021","IL","42.194946","-88.21676","Fox River Grove","Illinois"
"60022","IL","42.130976","-87.76252","Glencoe","Illinois"
"60025","IL","42.076720","-87.81922","Glenview","Illinois"
"60029","IL","42.056529","-87.79286","Golf","Illinois"
"60030","IL","42.338955","-88.03433","Gages Lake","Illinois"
"60031","IL","42.375821","-87.93517","Gurnee","Illinois"
"60033","IL","42.424338","-88.61431","Harvard","Illinois"
"60034","IL","42.468318","-88.43125","Hebron","Illinois"
"60035","IL","42.181875","-87.80956","Highland Park","Illinois"
"60037","IL","42.211960","-87.80808","Fort Sheridan","Illinois"
"60040","IL","42.205724","-87.81421","Highwood","Illinois"
"60041","IL","42.372721","-88.15303","Ingleside","Illinois"
"60042","IL","42.277691","-88.20074","Island Lake","Illinois"
"60043","IL","42.088128","-87.71600","Kenilworth","Illinois"
"60044","IL","42.286222","-87.86309","Lake Bluff","Illinois"
"60045","IL","42.238087","-87.86093","Lake Forest","Illinois"
"60046","IL","42.410687","-88.05462","Lindenhurst","Illinois"
"60047","IL","42.199957","-88.05859","Long Grove","Illinois"
"60048","IL","42.290922","-87.95169","Libertyville","Illinois"
"60050","IL","42.348406","-88.24769","Mc Henry","Illinois"
"60053","IL","42.041999","-87.78882","Morton Grove","Illinois"
"60056","IL","42.065427","-87.93621","Mount Prospect","Illinois"
"60060","IL","42.263623","-88.01172","Mundelein","Illinois"
"60061","IL","42.229856","-87.96779","Vernon Hills","Illinois"
"60062","IL","42.124576","-87.84303","Northbrook","Illinois"
"60064","IL","42.326072","-87.85202","Abbott Park","Illinois"
"60067","IL","42.109790","-88.04917","Palatine","Illinois"
"60068","IL","42.011830","-87.84158","Park Ridge","Illinois"
"60069","IL","42.188074","-87.92717","Prairie View","Illinois"
"60070","IL","42.105576","-87.92816","Prospect Heights","Illinois"
"60071","IL","42.464639","-88.30280","Richmond","Illinois"
"60072","IL","42.405464","-88.30274","Ringwood","Illinois"
"60073","IL","42.366253","-88.09647","Round Lake","Illinois"
"60074","IL","42.143819","-88.02546","Palatine","Illinois"
"60076","IL","42.036180","-87.73210","Skokie","Illinois"
"60077","IL","42.033313","-87.75764","Skokie","Illinois"
"60081","IL","42.441869","-88.22167","Spring Grove","Illinois"
"60083","IL","42.428187","-87.92935","Wadsworth","Illinois"
"60084","IL","42.263181","-88.14328","Wauconda","Illinois"
"60085","IL","42.361271","-87.86187","Mc Gaw Park","Illinois"
